locus_tag	ftype	length_bp	gene	EC_number	COG	product
BLDOBLCF_00051	CDS	1317				hypothetical protein
BLDOBLCF_00052	CDS	2028	hsdM	2.1.1.72	COG0286	Type I restriction enzyme EcoKI M protein
BLDOBLCF_00053	CDS	174				hypothetical protein
BLDOBLCF_00054	CDS	333				hypothetical protein
BLDOBLCF_00055	CDS	975	virB		COG1475	Virulence regulon transcriptional activator VirB
BLDOBLCF_00056	CDS	1206	parA			Plasmid partition protein A
BLDOBLCF_00057	CDS	897	repA			Replication protein RepA
BLDOBLCF_00058	CDS	1272	umuC		COG0389	Protein UmuC
BLDOBLCF_00059	CDS	432	umuD	3.4.21.-	COG1974	Protein UmuD
BLDOBLCF_00060	CDS	972	parM			Plasmid segregation protein ParM
BLDOBLCF_00061	CDS	672				hypothetical protein
BLDOBLCF_00062	CDS	231				hypothetical protein
BLDOBLCF_00063	CDS	702	yhdJ	2.1.1.72	COG0863	DNA adenine methyltransferase YhdJ
BLDOBLCF_00064	CDS	222				hypothetical protein
BLDOBLCF_00065	CDS	420				hypothetical protein
BLDOBLCF_00066	CDS	768				hypothetical protein
BLDOBLCF_00067	CDS	429	klcA			Antirestriction protein KlcA
BLDOBLCF_00068	CDS	507				hypothetical protein
BLDOBLCF_00069	CDS	192				hypothetical protein
BLDOBLCF_00070	CDS	255	holE	2.7.7.7		DNA polymerase III subunit theta
BLDOBLCF_00071	CDS	318				hypothetical protein
BLDOBLCF_00072	CDS	228				hypothetical protein
BLDOBLCF_00073	CDS	231				hypothetical protein
BLDOBLCF_00074	CDS	1356				hypothetical protein
BLDOBLCF_00075	CDS	564				hypothetical protein
BLDOBLCF_00076	CDS	321				hypothetical protein
BLDOBLCF_00077	CDS	513	ssb		COG0629	Single-stranded DNA-binding protein
BLDOBLCF_00078	CDS	243				hypothetical protein
BLDOBLCF_00079	CDS	2010	spo0C		COG1475	Chromosome-partitioning protein Spo0J
BLDOBLCF_00080	CDS	432	psiB			Protein PsiB
BLDOBLCF_00081	CDS	723				hypothetical protein
BLDOBLCF_00082	CDS	357				hypothetical protein
BLDOBLCF_00083	CDS	273				hypothetical protein
BLDOBLCF_00084	CDS	351				hypothetical protein
BLDOBLCF_00085	CDS	354				hypothetical protein
BLDOBLCF_00086	CDS	348				hypothetical protein
BLDOBLCF_00087	CDS	147				hypothetical protein
BLDOBLCF_00088	CDS	834				hypothetical protein
BLDOBLCF_00089	CDS	822				hypothetical protein
BLDOBLCF_00090	CDS	315				hypothetical protein
BLDOBLCF_00091	CDS	486				hypothetical protein
BLDOBLCF_00092	CDS	399	traM			Relaxosome protein TraM
BLDOBLCF_00093	CDS	687	traJ			Protein TraJ
BLDOBLCF_00094	CDS	387	traY			Relaxosome protein TraY
BLDOBLCF_00095	CDS	369	traA			Pilin
BLDOBLCF_00096	CDS	306				hypothetical protein
BLDOBLCF_00097	CDS	567				hypothetical protein
BLDOBLCF_00098	CDS	741				hypothetical protein
BLDOBLCF_00099	CDS	1425				hypothetical protein
BLDOBLCF_00100	CDS	573	traV			Protein TraV
BLDOBLCF_00101	CDS	411				hypothetical protein
BLDOBLCF_00102	CDS	312				hypothetical protein
BLDOBLCF_00103	CDS	390				hypothetical protein
BLDOBLCF_00104	CDS	393				hypothetical protein
BLDOBLCF_00105	CDS	2640	traC			Protein TraC
BLDOBLCF_00106	CDS	390				hypothetical protein
BLDOBLCF_00107	CDS	627				hypothetical protein
BLDOBLCF_00108	CDS	390				hypothetical protein
BLDOBLCF_00109	CDS	990				hypothetical protein
BLDOBLCF_00110	CDS	639				hypothetical protein
BLDOBLCF_00111	CDS	1956				hypothetical protein
BLDOBLCF_00112	CDS	255				hypothetical protein
BLDOBLCF_00113	CDS	267				hypothetical protein
BLDOBLCF_00114	CDS	327				hypothetical protein
BLDOBLCF_00115	CDS	753				hypothetical protein
BLDOBLCF_00116	CDS	240	traQ			Protein TraQ
BLDOBLCF_00117	CDS	558				hypothetical protein
BLDOBLCF_00118	CDS	444				hypothetical protein
BLDOBLCF_00119	CDS	1368				hypothetical protein
BLDOBLCF_00120	CDS	2850				hypothetical protein
BLDOBLCF_00121	CDS	549	traS			Protein TraS
BLDOBLCF_00122	CDS	732	ylpA			Lipoprotein YlpA
BLDOBLCF_00123	CDS	690				hypothetical protein
BLDOBLCF_00124	CDS	2313	traD			Coupling protein TraD
BLDOBLCF_00125	CDS	5262	traI			Multifunctional conjugation protein TraI
BLDOBLCF_00126	CDS	726				hypothetical protein
BLDOBLCF_00127	CDS	594	finO			Fertility inhibition protein
